,rewards
532,10.0
533,14.0
534,33.0
535,31.0
536,11.0
537,10.0
538,21.0
539,21.0
540,10.0
541,14.0
542,13.0
543,19.0
544,14.0
545,10.0
546,10.0
547,12.0
548,42.0
549,60.0
550,30.0
551,10.0
552,10.0
553,10.0
554,10.0
555,26.0
556,27.0
557,24.0
558,24.0
559,12.0
560,10.0
561,10.0
562,10.0
563,23.0
564,11.0
565,12.0
566,27.0
567,22.0
568,13.0
569,10.0
570,10.0
571,10.0
572,24.0
573,10.0
574,11.0
575,10.0
576,29.0
577,9.0
578,11.0
579,37.0
580,37.0
581,8.0
582,10.0
583,10.0
584,35.0
585,8.0
586,10.0
587,42.0
588,10.0
589,42.0
590,10.0
591,10.0
592,64.0
593,10.0
594,10.0
595,51.0
596,16.0
597,10.0
598,17.0
599,26.0
600,43.0
601,9.0
602,23.0
603,9.0
604,9.0
605,14.0
606,29.0
607,10.0
608,11.0
609,24.0
610,10.0
611,10.0
612,9.0
613,36.0
614,40.0
615,9.0
616,39.0
617,9.0
618,35.0
619,10.0
620,70.0
621,11.0
622,10.0
623,22.0
624,10.0
625,10.0
626,14.0
627,10.0
628,10.0
629,16.0
630,8.0
631,10.0
632,53.0
633,29.0
634,15.0
635,9.0
636,10.0
637,11.0
638,8.0
639,11.0
640,18.0
641,9.0
642,10.0
643,10.0
644,9.0
645,11.0
646,14.0
647,10.0
648,11.0
649,15.0
650,17.0
651,42.0
652,11.0
653,43.0
654,10.0
655,10.0
656,25.0
657,10.0
658,55.0
659,44.0
660,12.0
661,11.0
662,9.0
663,42.0
664,10.0
665,32.0
666,33.0
667,47.0
668,12.0
669,27.0
670,9.0
671,51.0
672,54.0
673,54.0
674,10.0
675,10.0
676,11.0
677,29.0
678,19.0
679,50.0
680,38.0
681,30.0
682,10.0
683,25.0
684,10.0
685,30.0
686,10.0
687,29.0
688,45.0
689,46.0
690,19.0
691,9.0
692,10.0
693,42.0
694,16.0
695,10.0
696,10.0
697,10.0
698,45.0
699,75.0
700,44.0
701,18.0
702,10.0
703,10.0
704,10.0
705,10.0
706,65.0
707,16.0
708,68.0
709,9.0
710,11.0
711,9.0
712,9.0
713,10.0
714,9.0
715,121.0
716,11.0
717,10.0
718,10.0
719,9.0
720,10.0
721,10.0
722,11.0
723,46.0
724,65.0
725,53.0
726,83.0
727,10.0
728,9.0
729,10.0
730,8.0
731,11.0
732,9.0
733,36.0
734,71.0
735,79.0
736,10.0
737,15.0
738,9.0
739,10.0
740,10.0
741,10.0
742,10.0
743,10.0
744,10.0
745,10.0
746,12.0
747,11.0
748,10.0
749,17.0
750,11.0
751,91.0
752,10.0
753,9.0
754,10.0
755,11.0
756,10.0
757,10.0
758,10.0
759,9.0
760,38.0
761,10.0
762,14.0
763,78.0
764,10.0
765,10.0
766,71.0
767,10.0
768,10.0
769,11.0
770,20.0
771,11.0
772,10.0
773,107.0
774,146.0
775,10.0
776,10.0
777,10.0
778,20.0
779,10.0
780,10.0
781,10.0
782,98.0
783,98.0
784,11.0
785,10.0
786,11.0
787,10.0
788,11.0
789,10.0
790,10.0
791,27.0
792,10.0
793,11.0
794,12.0
795,50.0
796,44.0
797,28.0
798,68.0
799,10.0
800,57.0
801,10.0
802,12.0
803,81.0
804,98.0
805,14.0
806,154.0
807,10.0
808,10.0
809,30.0
810,12.0
811,155.0
812,36.0
813,10.0
814,10.0
815,46.0
816,10.0
817,11.0
818,10.0
819,10.0
820,9.0
821,162.0
822,200.0
823,10.0
824,10.0
825,10.0
826,76.0
827,200.0
828,11.0
829,124.0
830,10.0
831,10.0
832,17.0
833,9.0
834,9.0
835,178.0
836,10.0
837,10.0
838,10.0
839,10.0
840,10.0
841,10.0
842,10.0
843,200.0
844,10.0
845,9.0
846,11.0
847,16.0
848,10.0
849,104.0
850,10.0
851,10.0
852,200.0
853,10.0
854,9.0
855,10.0
856,136.0
857,10.0
858,22.0
859,10.0
860,10.0
861,10.0
862,10.0
863,25.0
864,10.0
865,120.0
866,10.0
867,10.0
868,10.0
869,200.0
870,10.0
871,9.0
872,10.0
873,11.0
874,11.0
875,139.0
876,132.0
877,10.0
878,11.0
879,10.0
880,10.0
881,10.0
882,10.0
883,11.0
884,46.0
885,28.0
886,22.0
887,10.0
888,26.0
889,12.0
890,130.0
891,10.0
892,15.0
893,11.0
894,10.0
895,10.0
896,10.0
897,72.0
898,200.0
899,11.0
900,22.0
901,25.0
902,11.0
903,197.0
904,10.0
905,31.0
906,13.0
907,10.0
908,10.0
909,17.0
910,130.0
911,18.0
912,200.0
913,10.0
914,10.0
915,10.0
916,26.0
917,200.0
918,200.0
919,30.0
920,11.0
921,11.0
922,10.0
923,10.0
924,16.0
925,10.0
926,10.0
927,10.0
928,200.0
929,10.0
930,22.0
931,156.0
932,51.0
933,10.0
934,9.0
935,10.0
936,17.0
937,10.0
938,22.0
939,10.0
940,10.0
941,10.0
942,10.0
943,36.0
944,16.0
945,11.0
946,163.0
947,9.0
948,10.0
949,9.0
950,10.0
951,10.0
952,10.0
953,11.0
954,35.0
955,10.0
956,168.0
957,9.0
958,11.0
959,9.0
960,10.0
961,10.0
962,10.0
963,9.0
964,10.0
965,10.0
966,8.0
967,9.0
968,9.0
969,32.0
970,10.0
971,10.0
972,13.0
973,200.0
974,126.0
975,152.0
976,12.0
977,141.0
978,24.0
979,11.0
980,133.0
981,10.0
982,10.0
983,122.0
984,10.0
985,13.0
986,11.0
987,17.0
988,158.0
989,10.0
990,11.0
991,10.0
992,200.0
993,10.0
994,11.0
995,85.0
996,20.0
997,10.0
998,10.0
999,10.0
1000,11.0
1001,10.0
1002,10.0
1003,21.0
1004,20.0
1005,22.0
1006,18.0
1007,10.0
1008,11.0
1009,11.0
1010,9.0
1011,11.0
1012,27.0
1013,10.0
1014,10.0
1015,10.0
1016,11.0
1017,10.0
1018,11.0
1019,10.0
1020,10.0
1021,10.0
1022,10.0
1023,11.0
1024,10.0
1025,10.0
1026,11.0
1027,10.0
1028,11.0
1029,11.0
1030,11.0
1031,10.0
1032,10.0
1033,10.0
1034,10.0
1035,10.0
1036,9.0
1037,10.0
1038,10.0
1039,24.0
1040,17.0
1041,19.0
1042,10.0
1043,10.0
1044,22.0
1045,10.0
1046,15.0
1047,10.0
1048,10.0
1049,14.0
1050,13.0
1051,10.0
1052,15.0
1053,11.0
1054,9.0
1055,9.0
1056,9.0
1057,15.0
1058,10.0
1059,10.0
1060,14.0
1061,10.0
1062,11.0
1063,10.0
1064,10.0
1065,9.0
1066,10.0
1067,13.0
1068,10.0
1069,10.0
1070,19.0
1071,11.0
1072,11.0
1073,9.0
1074,10.0
1075,10.0
1076,11.0
1077,9.0
1078,10.0
1079,10.0
1080,17.0
1081,10.0
1082,9.0
1083,13.0
1084,12.0
1085,9.0
1086,11.0
1087,10.0
1088,11.0
1089,10.0
1090,10.0
1091,10.0
1092,9.0
1093,10.0
1094,11.0
1095,9.0
1096,10.0
1097,10.0
1098,9.0
1099,13.0
1100,15.0
1101,10.0
1102,10.0
1103,10.0
1104,10.0
1105,10.0
1106,10.0
1107,9.0
1108,13.0
1109,9.0
1110,10.0
1111,9.0
1112,10.0
1113,10.0
1114,11.0
1115,17.0
1116,11.0
1117,10.0
1118,10.0
1119,11.0
1120,10.0
1121,9.0
1122,9.0
1123,11.0
1124,10.0
1125,10.0
1126,10.0
1127,10.0
1128,10.0
1129,10.0
1130,10.0
1131,13.0
1132,11.0
1133,10.0
1134,10.0
1135,17.0
1136,9.0
1137,10.0
1138,10.0
1139,9.0
1140,9.0
1141,9.0
1142,9.0
1143,10.0
1144,9.0
1145,9.0
1146,27.0
1147,10.0
1148,10.0
1149,10.0
1150,8.0
1151,33.0
1152,15.0
1153,17.0
1154,10.0
1155,9.0
1156,13.0
1157,10.0
1158,10.0
1159,9.0
1160,32.0
1161,38.0
1162,9.0
1163,10.0
1164,36.0
1165,41.0
1166,23.0
1167,24.0
1168,30.0
1169,10.0
1170,10.0
1171,10.0
1172,9.0
1173,10.0
1174,9.0
1175,9.0
1176,10.0
1177,29.0
1178,27.0
1179,48.0
1180,28.0
1181,10.0
1182,9.0
1183,39.0
1184,10.0
1185,10.0
1186,19.0
1187,9.0
1188,43.0
1189,24.0
1190,10.0
1191,24.0
1192,38.0
1193,11.0
1194,10.0
1195,34.0
1196,10.0
1197,22.0
1198,9.0
1199,9.0
1200,10.0
1201,20.0
1202,27.0
1203,23.0
1204,24.0
1205,10.0
1206,10.0
1207,23.0
1208,40.0
1209,9.0
1210,30.0
1211,10.0
1212,22.0
1213,9.0
1214,10.0
1215,9.0
1216,9.0
1217,10.0
1218,10.0
1219,10.0
1220,32.0
1221,28.0
1222,10.0
1223,50.0
1224,24.0
1225,20.0
1226,24.0
1227,10.0
1228,25.0
1229,10.0
1230,11.0
1231,18.0
1232,11.0
1233,11.0
1234,10.0
1235,10.0
1236,10.0
1237,27.0
1238,38.0
1239,10.0
1240,32.0
1241,10.0
1242,25.0
1243,25.0
1244,22.0
1245,19.0
