,loss
0,1.0059053897857666
1,1.114715576171875
2,1.3581180572509766
3,1.8597910404205322
4,2.2488274574279785
5,2.8738009929656982
6,3.436068534851074
7,3.6502010822296143
8,4.2634687423706055
9,4.935258865356445
10,4.265399932861328
11,6.650096416473389
12,5.391711235046387
13,6.275984287261963
14,6.659265041351318
15,5.210278511047363
16,6.05063009262085
17,5.367325305938721
18,6.11065149307251
19,8.519466400146484
20,4.512829780578613
21,5.657279968261719
22,5.3636980056762695
23,6.857977867126465
24,5.827245712280273
25,6.946454048156738
26,6.093811511993408
27,5.811006546020508
28,6.047515869140625
29,6.596545219421387
30,6.6104888916015625
31,6.029497146606445
32,6.653350830078125
33,5.207658767700195
34,6.256746292114258
35,4.812631130218506
36,5.286416530609131
37,4.951889514923096
38,4.50423526763916
39,5.270781517028809
40,5.686202526092529
41,3.067340850830078
42,3.8527164459228516
43,4.217226982116699
44,3.132110834121704
45,3.305161237716675
46,3.086230754852295
47,2.617335796356201
48,2.7893595695495605
49,2.086258888244629
50,1.5862237215042114
51,2.748379707336426
52,2.3229079246520996
53,2.3125994205474854
54,1.9313209056854248
55,2.170248031616211
56,2.30914306640625
57,1.2148807048797607
58,1.483818531036377
59,1.6905744075775146
60,2.1704721450805664
61,1.8282417058944702
62,1.4780033826828003
63,1.4133278131484985
64,1.0988199710845947
65,1.1439322233200073
66,0.896775484085083
67,0.9654742479324341
68,0.989944338798523
69,0.8105760216712952
70,0.8033288717269897
71,0.7463460564613342
72,0.6463608145713806
73,0.649827778339386
74,0.7167471051216125
75,0.5747793912887573
76,0.36554598808288574
77,0.5670371651649475
78,0.41446563601493835
79,0.4218018352985382
80,0.46113258600234985
81,0.42110303044319153
82,0.40482011437416077
83,0.33923089504241943
84,0.4276701807975769
85,0.33268722891807556
86,0.42584967613220215
87,0.30634158849716187
88,0.36610138416290283
89,0.37161722779273987
90,0.32211464643478394
91,0.30952295660972595
92,0.22279256582260132
93,0.2533200979232788
94,0.23123854398727417
95,0.23978623747825623
96,0.2151828557252884
97,0.21867530047893524
98,0.2135385125875473
99,0.27934199571609497
100,0.3185214102268219
101,0.2931385040283203
102,0.29443129897117615
103,0.18613818287849426
104,0.1941574364900589
105,0.16335085034370422
106,0.19436639547348022
107,0.2295255959033966
108,0.23804564774036407
109,0.2382669448852539
110,0.20233553647994995
111,0.18021389842033386
112,0.17376446723937988
113,0.17976787686347961
114,0.16653278470039368
115,0.17671437561511993
116,0.1477322280406952
117,0.1477999985218048
118,0.15421991050243378
119,0.23371325433254242
120,0.13955700397491455
121,0.2045920342206955
122,0.14626795053482056
123,0.15314573049545288
124,0.1375332772731781
125,0.1447848677635193
126,0.16364362835884094
127,0.11354967951774597
128,0.13050740957260132
129,0.11405512690544128
130,0.13843315839767456
131,0.13283511996269226
132,0.19030305743217468
133,0.12276432663202286
134,0.09633515030145645
135,0.09431462734937668
136,0.08455841988325119
137,0.09843306988477707
138,0.10635866969823837
139,0.0919581726193428
140,0.11361837387084961
141,0.1432001292705536
142,0.12239079922437668
143,0.11400814354419708
144,0.13538935780525208
145,0.13187052309513092
146,0.11610708385705948
147,0.08816391974687576
148,0.07777269184589386
149,0.06528317928314209
150,0.06829677522182465
151,0.08438026905059814
152,0.09307391941547394
153,0.08992283046245575
154,0.10013079643249512
155,0.06865309178829193
156,0.06652754545211792
157,0.06789637356996536
158,0.10423556715250015
159,0.07666703313589096
160,0.07090115547180176
161,0.08303570747375488
162,0.055854201316833496
163,0.07706830650568008
164,0.06313200294971466
165,0.07862959802150726
166,0.08357320725917816
167,0.0862584263086319
168,0.054862700402736664
169,0.055982716381549835
170,0.04420245438814163
171,0.04175549000501633
172,0.08587619662284851
173,0.06658554077148438
174,0.0462426133453846
175,0.04474858194589615
176,0.04580341652035713
