,rewards
0,37.0
1,10.0
2,9.0
3,10.0
4,9.0
5,16.0
6,11.0
7,9.0
8,9.0
9,9.0
10,10.0
11,10.0
12,11.0
13,10.0
14,10.0
15,10.0
16,10.0
17,10.0
18,10.0
19,9.0
20,9.0
21,10.0
22,10.0
23,24.0
24,11.0
25,9.0
26,10.0
27,10.0
28,13.0
29,19.0
30,10.0
31,16.0
32,8.0
33,10.0
34,9.0
35,10.0
36,10.0
37,10.0
38,10.0
39,10.0
40,10.0
41,9.0
42,14.0
43,10.0
44,9.0
45,10.0
46,9.0
47,10.0
48,20.0
49,10.0
50,11.0
51,10.0
52,25.0
53,14.0
54,10.0
55,14.0
56,13.0
57,9.0
58,10.0
59,9.0
60,9.0
61,9.0
62,9.0
63,25.0
64,27.0
65,11.0
66,11.0
67,10.0
68,10.0
69,10.0
70,9.0
71,9.0
72,10.0
73,10.0
74,10.0
75,11.0
76,10.0
77,10.0
78,10.0
79,9.0
80,10.0
81,9.0
82,11.0
83,10.0
84,10.0
85,9.0
86,10.0
87,9.0
88,10.0
89,10.0
90,10.0
91,10.0
92,9.0
93,9.0
94,10.0
95,10.0
96,10.0
97,10.0
98,10.0
99,10.0
100,10.0
101,9.0
102,10.0
103,9.0
104,10.0
105,10.0
106,9.0
107,10.0
108,10.0
109,10.0
110,9.0
111,10.0
112,10.0
113,10.0
114,10.0
115,10.0
116,10.0
117,9.0
118,11.0
119,10.0
120,9.0
121,9.0
122,10.0
123,10.0
124,10.0
125,10.0
126,10.0
127,10.0
128,9.0
129,10.0
130,10.0
131,10.0
132,10.0
133,10.0
134,10.0
135,10.0
136,10.0
137,10.0
138,9.0
139,10.0
140,10.0
141,10.0
142,10.0
143,10.0
144,9.0
145,11.0
146,9.0
147,10.0
148,9.0
149,10.0
150,10.0
151,10.0
152,9.0
153,11.0
154,9.0
155,10.0
156,9.0
157,9.0
158,10.0
159,11.0
160,10.0
161,10.0
162,10.0
163,9.0
164,10.0
165,10.0
166,10.0
167,10.0
168,10.0
169,10.0
170,10.0
171,10.0
172,10.0
173,9.0
174,10.0
175,10.0
176,10.0
177,10.0
178,10.0
179,10.0
180,10.0
181,10.0
182,10.0
183,10.0
184,10.0
185,11.0
186,10.0
187,10.0
188,10.0
189,9.0
190,10.0
191,10.0
192,10.0
193,10.0
194,10.0
195,10.0
196,10.0
197,10.0
198,10.0
199,9.0
200,9.0
201,10.0
202,10.0
203,10.0
204,10.0
205,11.0
206,10.0
207,9.0
208,10.0
209,10.0
210,9.0
211,10.0
212,10.0
213,11.0
214,9.0
215,10.0
216,10.0
217,9.0
218,10.0
219,10.0
220,10.0
221,11.0
222,10.0
223,10.0
224,10.0
225,10.0
226,10.0
227,9.0
228,9.0
229,10.0
230,9.0
231,9.0
232,10.0
233,10.0
234,10.0
235,10.0
236,10.0
237,10.0
238,10.0
239,10.0
240,9.0
241,10.0
242,10.0
243,11.0
244,10.0
245,10.0
246,11.0
247,10.0
248,10.0
249,10.0
250,10.0
251,10.0
252,10.0
253,10.0
254,10.0
255,11.0
256,10.0
257,10.0
258,10.0
259,10.0
260,9.0
261,10.0
262,9.0
263,10.0
264,10.0
265,10.0
266,10.0
267,10.0
268,10.0
269,10.0
270,11.0
271,10.0
272,10.0
273,10.0
274,9.0
275,10.0
276,10.0
277,10.0
278,11.0
279,11.0
280,10.0
281,10.0
282,10.0
283,10.0
284,10.0
285,10.0
286,10.0
287,10.0
288,10.0
289,10.0
290,10.0
291,10.0
292,10.0
293,10.0
294,10.0
295,10.0
296,10.0
297,10.0
298,9.0
299,11.0
300,10.0
301,10.0
302,10.0
303,10.0
304,10.0
305,10.0
306,9.0
307,10.0
308,11.0
309,9.0
310,10.0
311,10.0
312,10.0
313,9.0
314,10.0
315,10.0
316,10.0
317,9.0
318,10.0
319,10.0
320,10.0
321,10.0
322,11.0
323,9.0
324,10.0
325,10.0
326,10.0
327,10.0
328,10.0
329,10.0
330,10.0
331,10.0
332,10.0
333,10.0
334,10.0
335,10.0
336,9.0
337,10.0
338,10.0
339,10.0
340,9.0
341,10.0
342,9.0
343,10.0
344,9.0
345,10.0
346,9.0
347,9.0
348,10.0
349,10.0
350,10.0
351,10.0
352,11.0
353,10.0
354,10.0
355,10.0
356,10.0
357,10.0
358,10.0
359,10.0
360,10.0
361,10.0
362,11.0
363,10.0
364,10.0
365,10.0
366,9.0
367,10.0
368,10.0
369,10.0
370,10.0
371,10.0
372,10.0
373,10.0
374,10.0
375,10.0
376,10.0
377,9.0
378,10.0
379,10.0
380,9.0
381,10.0
382,10.0
383,10.0
384,11.0
385,10.0
386,10.0
387,10.0
388,10.0
389,10.0
390,10.0
391,10.0
392,10.0
393,10.0
394,10.0
395,10.0
396,10.0
397,10.0
398,10.0
399,10.0
400,10.0
401,10.0
402,10.0
403,10.0
404,10.0
405,10.0
406,10.0
407,10.0
408,9.0
409,11.0
410,10.0
411,10.0
412,9.0
413,10.0
414,10.0
415,10.0
416,10.0
417,10.0
418,10.0
419,10.0
420,10.0
421,10.0
422,10.0
423,10.0
424,11.0
425,10.0
426,10.0
427,10.0
428,9.0
429,9.0
430,10.0
431,10.0
432,10.0
433,10.0
434,10.0
435,9.0
436,10.0
437,10.0
438,10.0
439,10.0
440,9.0
441,9.0
442,10.0
443,10.0
444,9.0
445,10.0
446,10.0
447,10.0
448,10.0
449,10.0
450,9.0
451,10.0
452,10.0
453,10.0
454,10.0
455,10.0
456,10.0
457,9.0
458,10.0
459,17.0
460,9.0
461,10.0
462,9.0
463,20.0
464,11.0
465,9.0
466,10.0
467,10.0
468,12.0
469,18.0
470,10.0
471,10.0
472,10.0
473,12.0
474,11.0
475,10.0
476,9.0
477,10.0
478,16.0
479,10.0
480,10.0
481,10.0
482,14.0
483,10.0
484,10.0
485,10.0
486,10.0
487,16.0
488,10.0
489,9.0
490,37.0
491,10.0
492,10.0
493,10.0
494,15.0
495,10.0
496,9.0
497,12.0
498,10.0
499,9.0
500,10.0
501,10.0
502,11.0
503,10.0
504,29.0
505,10.0
506,43.0
507,19.0
508,10.0
509,10.0
510,10.0
511,10.0
512,19.0
513,10.0
514,10.0
515,10.0
516,14.0
517,10.0
518,10.0
519,29.0
520,11.0
521,10.0
522,9.0
523,10.0
524,10.0
525,11.0
526,10.0
527,10.0
528,18.0
529,10.0
530,10.0
531,9.0
532,9.0
533,10.0
534,11.0
535,10.0
536,9.0
537,10.0
538,10.0
539,10.0
540,10.0
541,9.0
542,10.0
543,10.0
544,10.0
545,29.0
546,10.0
547,10.0
548,9.0
549,10.0
550,22.0
551,10.0
