,rewards
0,40.0
1,10.0
2,9.0
3,8.0
4,10.0
5,9.0
6,9.0
7,11.0
8,9.0
9,9.0
10,9.0
11,16.0
12,10.0
13,16.0
14,15.0
15,9.0
16,10.0
17,10.0
18,11.0
19,10.0
20,10.0
21,10.0
22,9.0
23,8.0
24,10.0
25,9.0
26,10.0
27,10.0
28,10.0
29,9.0
30,10.0
31,9.0
32,11.0
33,10.0
34,10.0
35,10.0
36,10.0
37,10.0
38,12.0
39,11.0
40,9.0
41,10.0
42,10.0
43,11.0
44,10.0
45,10.0
46,10.0
47,10.0
48,10.0
49,10.0
50,10.0
51,10.0
52,10.0
53,11.0
54,8.0
55,10.0
56,10.0
57,10.0
58,10.0
59,9.0
60,10.0
61,10.0
62,10.0
63,10.0
64,9.0
65,10.0
66,10.0
67,9.0
68,10.0
69,10.0
70,9.0
71,10.0
72,9.0
73,10.0
74,10.0
75,9.0
76,9.0
77,10.0
78,10.0
79,8.0
80,9.0
81,11.0
82,9.0
83,9.0
84,8.0
85,10.0
86,10.0
87,9.0
88,10.0
89,9.0
90,10.0
91,9.0
92,10.0
93,9.0
94,10.0
95,11.0
96,10.0
97,10.0
98,9.0
99,9.0
100,9.0
101,10.0
102,10.0
103,10.0
104,10.0
105,11.0
106,10.0
107,9.0
108,10.0
109,10.0
110,10.0
111,11.0
112,10.0
113,10.0
114,10.0
115,9.0
116,9.0
117,10.0
118,10.0
119,10.0
120,10.0
121,10.0
122,10.0
123,9.0
124,10.0
125,9.0
126,10.0
127,10.0
128,11.0
129,10.0
130,10.0
131,9.0
132,9.0
133,10.0
134,10.0
135,9.0
136,9.0
137,10.0
138,10.0
139,10.0
140,10.0
141,9.0
142,9.0
143,9.0
144,10.0
145,10.0
146,10.0
147,10.0
148,10.0
149,9.0
150,10.0
151,9.0
152,10.0
153,10.0
154,10.0
155,9.0
156,10.0
157,9.0
158,9.0
159,10.0
160,10.0
161,10.0
162,11.0
163,9.0
164,10.0
165,10.0
166,11.0
167,10.0
168,10.0
169,9.0
170,9.0
171,10.0
172,11.0
173,10.0
174,10.0
175,10.0
176,10.0
177,9.0
178,11.0
179,10.0
180,10.0
181,9.0
182,10.0
183,10.0
184,10.0
185,10.0
186,12.0
187,10.0
188,9.0
189,11.0
190,10.0
191,9.0
192,10.0
193,10.0
194,10.0
195,10.0
196,10.0
197,10.0
198,10.0
199,9.0
200,9.0
201,10.0
202,10.0
203,11.0
204,10.0
205,10.0
206,11.0
207,10.0
208,10.0
209,11.0
210,11.0
211,9.0
212,10.0
213,9.0
214,10.0
215,9.0
216,9.0
217,10.0
218,11.0
219,9.0
220,10.0
221,9.0
222,9.0
223,10.0
224,9.0
225,10.0
226,10.0
227,10.0
228,9.0
229,10.0
230,10.0
231,10.0
232,10.0
233,10.0
234,11.0
235,10.0
236,10.0
237,10.0
238,10.0
239,9.0
240,10.0
241,10.0
242,10.0
243,10.0
244,10.0
245,10.0
246,9.0
247,10.0
248,10.0
249,10.0
250,10.0
251,10.0
252,10.0
253,10.0
254,10.0
255,9.0
256,10.0
257,9.0
258,10.0
259,10.0
260,9.0
261,10.0
262,9.0
263,11.0
264,10.0
265,10.0
266,10.0
267,10.0
268,10.0
269,9.0
270,10.0
271,10.0
272,9.0
273,9.0
274,11.0
275,9.0
276,10.0
277,10.0
278,11.0
279,10.0
280,10.0
281,10.0
282,9.0
283,10.0
284,10.0
285,10.0
286,10.0
287,10.0
288,10.0
289,11.0
290,10.0
291,9.0
292,10.0
293,10.0
294,10.0
295,10.0
296,9.0
297,10.0
298,11.0
299,10.0
300,10.0
301,10.0
302,10.0
303,10.0
304,10.0
305,10.0
306,10.0
307,10.0
308,10.0
309,10.0
310,10.0
311,10.0
312,11.0
313,10.0
314,10.0
315,9.0
316,10.0
317,10.0
318,10.0
319,11.0
320,10.0
321,10.0
322,11.0
323,10.0
324,10.0
325,10.0
326,9.0
327,10.0
328,9.0
329,9.0
330,9.0
331,9.0
332,10.0
333,10.0
334,9.0
335,10.0
336,9.0
337,10.0
338,10.0
339,9.0
340,10.0
341,9.0
342,10.0
343,10.0
344,9.0
345,10.0
346,10.0
347,9.0
348,10.0
349,10.0
350,10.0
351,9.0
352,10.0
353,9.0
354,10.0
355,10.0
356,10.0
357,10.0
358,11.0
359,10.0
360,10.0
361,9.0
362,10.0
363,10.0
364,10.0
365,10.0
366,10.0
367,10.0
368,10.0
369,10.0
370,9.0
371,10.0
372,10.0
373,10.0
374,10.0
375,9.0
376,10.0
377,10.0
378,10.0
379,10.0
380,9.0
381,10.0
382,9.0
383,9.0
384,10.0
385,11.0
386,10.0
387,10.0
388,10.0
389,10.0
390,10.0
391,9.0
392,10.0
393,10.0
394,10.0
395,10.0
396,9.0
397,10.0
398,10.0
399,9.0
400,11.0
401,9.0
402,10.0
403,9.0
404,9.0
405,10.0
406,10.0
407,10.0
408,10.0
409,9.0
410,10.0
411,9.0
412,9.0
413,10.0
414,10.0
415,10.0
416,9.0
417,10.0
418,10.0
419,9.0
420,10.0
421,10.0
422,10.0
423,10.0
424,10.0
425,10.0
426,10.0
427,10.0
428,10.0
429,10.0
430,10.0
431,10.0
432,9.0
433,10.0
434,10.0
435,10.0
436,9.0
437,10.0
438,10.0
439,10.0
440,10.0
441,10.0
442,10.0
443,10.0
444,10.0
445,9.0
446,10.0
447,10.0
448,10.0
449,10.0
450,10.0
451,10.0
452,10.0
453,9.0
454,10.0
455,10.0
456,9.0
457,10.0
458,10.0
459,9.0
460,9.0
461,10.0
462,10.0
463,11.0
464,10.0
465,11.0
466,10.0
467,9.0
468,11.0
469,10.0
470,10.0
471,10.0
472,10.0
473,10.0
474,10.0
475,10.0
476,10.0
477,10.0
478,9.0
479,10.0
480,10.0
481,10.0
482,10.0
483,10.0
484,10.0
485,11.0
486,10.0
487,11.0
488,9.0
489,10.0
490,10.0
491,10.0
492,10.0
493,10.0
494,11.0
495,10.0
496,10.0
497,10.0
498,10.0
499,10.0
500,11.0
501,10.0
502,9.0
503,10.0
504,10.0
505,10.0
506,10.0
507,10.0
508,10.0
509,9.0
510,10.0
511,10.0
512,10.0
513,10.0
514,10.0
515,10.0
516,11.0
517,9.0
518,10.0
519,9.0
520,9.0
521,10.0
522,10.0
523,10.0
524,10.0
525,10.0
526,9.0
527,10.0
528,10.0
529,9.0
530,10.0
531,10.0
532,10.0
533,10.0
534,10.0
535,9.0
536,10.0
537,10.0
538,10.0
539,10.0
540,10.0
541,10.0
542,9.0
543,10.0
544,10.0
545,10.0
546,10.0
547,10.0
548,10.0
549,10.0
550,10.0
551,10.0
552,10.0
553,10.0
554,10.0
555,10.0
556,9.0
557,10.0
558,9.0
559,10.0
560,10.0
561,10.0
562,10.0
563,9.0
564,11.0
565,10.0
566,10.0
567,9.0
568,10.0
569,9.0
570,9.0
571,10.0
572,9.0
573,10.0
574,10.0
575,10.0
576,10.0
577,10.0
578,10.0
579,10.0
580,10.0
581,10.0
582,10.0
583,10.0
584,10.0
585,11.0
586,10.0
587,9.0
588,10.0
589,10.0
590,10.0
591,10.0
592,10.0
593,10.0
594,10.0
595,10.0
596,10.0
597,10.0
598,9.0
599,10.0
600,10.0
601,11.0
602,10.0
603,10.0
604,10.0
605,10.0
606,10.0
607,10.0
608,10.0
609,10.0
610,10.0
611,9.0
612,10.0
613,10.0
614,9.0
615,10.0
616,10.0
617,10.0
618,9.0
619,10.0
620,10.0
621,10.0
622,10.0
623,9.0
624,10.0
625,9.0
626,10.0
627,10.0
628,10.0
629,9.0
630,10.0
631,9.0
632,10.0
633,10.0
634,10.0
635,10.0
636,10.0
637,10.0
638,10.0
639,10.0
640,9.0
641,10.0
642,10.0
643,9.0
644,9.0
645,10.0
646,10.0
647,10.0
648,10.0
649,10.0
650,10.0
651,11.0
652,10.0
653,10.0
654,10.0
655,10.0
656,9.0
657,9.0
658,10.0
659,10.0
660,10.0
661,10.0
662,10.0
663,10.0
664,10.0
665,10.0
666,11.0
667,10.0
668,10.0
669,10.0
670,10.0
671,10.0
672,10.0
673,10.0
674,10.0
675,10.0
676,10.0
677,10.0
678,10.0
679,10.0
680,10.0
681,10.0
682,10.0
683,10.0
684,10.0
685,11.0
686,10.0
687,9.0
688,10.0
689,9.0
690,11.0
691,10.0
692,10.0
693,10.0
694,10.0
695,10.0
696,9.0
697,12.0
698,10.0
699,11.0
700,28.0
701,10.0
702,16.0
703,9.0
704,10.0
705,9.0
706,33.0
707,29.0
708,10.0
709,27.0
710,9.0
711,10.0
712,10.0
713,26.0
714,11.0
715,11.0
716,10.0
717,11.0
718,10.0
719,10.0
720,22.0
721,10.0
722,9.0
723,13.0
724,9.0
725,46.0
726,40.0
727,19.0
728,26.0
729,28.0
730,10.0
731,10.0
732,9.0
733,10.0
734,23.0
735,10.0
736,10.0
737,40.0
738,10.0
739,10.0
740,10.0
741,9.0
742,10.0
743,17.0
744,10.0
745,12.0
746,10.0
747,10.0
748,10.0
749,11.0
750,12.0
751,11.0
752,10.0
753,10.0
754,10.0
755,10.0
756,11.0
757,10.0
758,10.0
759,10.0
760,9.0
761,10.0
762,10.0
763,10.0
764,10.0
765,11.0
766,10.0
767,10.0
768,10.0
769,11.0
770,10.0
771,11.0
772,11.0
773,9.0
774,10.0
775,10.0
776,9.0
777,12.0
778,10.0
779,9.0
780,9.0
781,10.0
782,12.0
783,10.0
784,10.0
785,10.0
786,10.0
787,11.0
788,10.0
789,10.0
790,10.0
791,9.0
792,10.0
793,11.0
794,10.0
795,10.0
796,10.0
797,9.0
798,11.0
799,10.0
800,11.0
801,10.0
802,11.0
803,10.0
804,14.0
805,10.0
806,11.0
807,10.0
808,11.0
809,10.0
810,13.0
811,12.0
812,10.0
813,10.0
814,10.0
815,10.0
816,9.0
817,9.0
818,10.0
819,10.0
820,10.0
821,10.0
822,10.0
